EmployeeNumber,EnvironmentSatisfaction,JobInvolvement,JobLevel,Department,JobRole,JobSatisfaction,MonthlyIncome,NumCompaniesWorked,OverTime,PerformanceRating,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion
954,1,2,3,Sales,Sales Executive,2,9705,2,No,3,11,1,0,0
956,3,2,2,Sales,Sales Executive,1,4294,1,No,3,7,7,7,0
957,4,3,1,Research & Development,Laboratory Technician,1,4721,2,Yes,3,20,18,13,2
958,3,3,1,Research & Development,Laboratory Technician,3,2519,4,No,4,16,11,8,3
959,4,2,1,Sales,Sales Representative,2,2121,1,Yes,3,1,1,0,0
960,1,3,1,Research & Development,Laboratory Technician,1,2973,1,No,3,1,1,0,0
961,4,3,2,Research & Development,Healthcare Representative,4,5855,0,Yes,3,10,9,7,8
964,4,3,1,Research & Development,Research Scientist,2,3617,8,Yes,3,3,1,1,0
966,3,3,2,Research & Development,Manufacturing Director,1,6725,1,No,3,8,8,7,6
967,3,2,3,Sales,Sales Executive,4,10325,1,Yes,3,16,16,7,3
969,2,2,2,Research & Development,Healthcare Representative,4,6949,0,No,3,6,5,0,1
970,1,2,3,Sales,Sales Executive,3,10609,5,No,3,17,14,1,11
972,3,3,2,Research & Development,Laboratory Technician,2,4447,1,No,3,9,9,7,0
974,3,3,1,Sales,Sales Representative,4,2157,1,No,3,3,3,1,0
975,3,3,2,Sales,Sales Executive,3,4601,1,No,3,5,5,2,1
976,4,3,4,Research & Development,Manager,4,17099,2,No,3,26,9,8,7
977,4,3,1,Research & Development,Research Scientist,3,2479,4,No,4,7,1,0,0
981,3,3,4,Sales,Manager,3,14852,6,No,3,22,17,13,15
982,3,3,3,Sales,Sales Executive,3,7264,5,No,3,10,8,4,7
983,3,3,2,Sales,Sales Executive,4,5666,1,Yes,3,6,5,3,1
984,4,3,3,Sales,Sales Executive,4,7823,6,No,3,12,10,9,0
985,1,4,3,Sales,Sales Executive,3,7880,0,No,3,9,8,7,0
986,2,4,4,Sales,Sales Executive,2,13194,4,Yes,3,22,1,0,0
987,3,4,2,Research & Development,Manufacturing Director,3,5067,1,Yes,3,20,19,10,2
990,1,3,2,Sales,Sales Executive,4,5079,4,No,3,12,7,7,0
991,3,2,1,Research & Development,Research Scientist,1,2321,0,Yes,4,4,3,2,1
992,4,3,4,Sales,Manager,3,17444,1,No,3,10,10,8,6
994,4,2,1,Research & Development,Research Scientist,1,2404,6,Yes,4,3,0,0,0
995,2,3,1,Research & Development,Research Scientist,4,3452,3,No,3,5,3,2,0
996,4,3,1,Research & Development,Laboratory Technician,4,2270,3,No,3,8,5,3,0
997,4,3,4,Research & Development,Research Director,4,17399,9,No,4,32,5,4,1
998,3,4,2,Research & Development,Healthcare Representative,2,5488,1,Yes,3,6,6,5,1
999,1,3,5,Research & Development,Research Director,3,19419,2,No,3,21,18,16,0
1001,3,3,1,Research & Development,Laboratory Technician,2,2811,9,No,3,4,2,2,2
1002,4,3,2,Research & Development,Laboratory Technician,1,3633,1,Yes,3,9,9,8,0
1003,4,3,2,Sales,Sales Executive,4,4163,1,Yes,3,9,9,0,0
1004,1,3,1,Research & Development,Research Scientist,3,2132,4,Yes,3,7,5,2,0
1005,4,3,4,Research & Development,Manufacturing Director,3,13973,3,Yes,3,22,12,11,1
1006,3,3,1,Research & Development,Research Scientist,3,2684,0,No,3,3,2,1,0
1007,4,3,3,Research & Development,Manufacturing Director,3,10845,6,No,3,13,8,7,0
1009,4,2,2,Research & Development,Manufacturing Director,3,4377,1,No,3,5,4,2,3
1010,3,2,1,Research & Development,Laboratory Technician,2,3743,1,Yes,4,5,4,2,0
1011,3,3,2,Research & Development,Manufacturing Director,1,4148,1,No,3,4,4,3,0
1012,2,3,1,Research & Development,Research Scientist,4,1051,1,No,3,0,0,0,0
1013,3,3,3,Research & Development,Manufacturing Director,3,10739,8,No,3,22,10,7,0
1014,3,3,3,Research & Development,Healthcare Representative,3,10388,1,Yes,3,16,16,10,10
1015,2,4,3,Research & Development,Research Director,1,11416,0,Yes,3,9,8,7,1
1016,4,2,1,Research & Development,Research Scientist,1,2600,1,Yes,3,1,1,0,0
1017,2,3,1,Research & Development,Laboratory Technician,2,2422,0,No,3,4,3,2,1
1018,4,4,2,Research & Development,Manufacturing Director,4,5472,1,No,3,8,8,7,1
1019,2,1,1,Research & Development,Laboratory Technician,1,2451,1,No,3,4,4,3,1
1022,1,2,2,Research & Development,Healthcare Representative,3,4240,2,No,3,19,2,2,2
1024,3,2,3,Research & Development,Healthcare Representative,3,10999,7,No,3,27,15,11,4
1025,4,3,2,Research & Development,Manufacturing Director,3,5003,6,No,3,8,2,2,2
1026,4,2,4,Research & Development,Manufacturing Director,4,12742,1,No,3,21,21,6,11
1027,1,3,2,Research & Development,Manufacturing Director,4,4227,0,No,3,4,3,2,2
1028,2,3,1,Research & Development,Laboratory Technician,4,3917,1,No,4,3,3,2,1
1029,4,3,5,Sales,Manager,3,18303,6,No,3,21,1,0,0
1030,1,3,1,Research & Development,Laboratory Technician,4,2380,4,No,3,8,1,0,0
1032,3,2,4,Research & Development,Manufacturing Director,4,13726,3,Yes,3,30,5,3,4
1033,1,1,2,Research & Development,Healthcare Representative,2,4777,5,No,3,15,1,0,0
1034,3,3,2,Research & Development,Healthcare Representative,2,6385,3,Yes,3,17,8,7,6
1035,2,1,5,Research & Development,Research Director,3,19973,1,No,4,21,21,16,5
1036,2,3,2,Sales,Sales Executive,4,6861,8,Yes,3,19,1,0,0
1037,2,1,2,Sales,Sales Executive,1,4969,8,No,3,7,2,2,2
1038,1,1,5,Sales,Manager,4,19845,1,No,3,33,32,14,6
1039,4,4,4,Sales,Sales Executive,4,13320,3,Yes,3,23,12,11,11
1040,4,3,2,Sales,Sales Executive,3,6347,0,No,3,19,18,7,0
1042,3,4,1,Research & Development,Laboratory Technician,1,2743,1,No,3,18,17,13,15
1043,4,3,3,Research & Development,Manufacturing Director,1,10880,1,Yes,3,21,21,6,2
1044,2,2,1,Sales,Sales Representative,4,2342,0,No,3,3,2,2,2
1045,4,3,4,Sales,Manager,4,17650,3,No,3,26,9,3,1
1046,4,3,1,Research & Development,Laboratory Technician,3,4025,9,No,3,10,8,7,7
1047,2,4,2,Sales,Sales Executive,4,9725,0,No,3,16,15,1,0
1048,2,3,3,Sales,Manager,4,11904,3,Yes,3,14,6,4,0
1049,2,3,1,Human Resources,Human Resources,2,2177,1,No,3,6,6,3,0
1050,3,2,3,Sales,Sales Executive,2,7525,2,No,3,30,15,7,6
1052,1,3,2,Research & Development,Laboratory Technician,3,4834,7,No,3,9,1,0,0
1053,1,3,1,Research & Development,Research Scientist,1,2042,6,Yes,3,6,3,2,1
1055,3,3,1,Sales,Sales Representative,3,2220,1,Yes,3,1,1,1,0
1056,4,3,1,Sales,Sales Representative,2,1052,1,No,4,1,1,0,0
1060,3,3,1,Research & Development,Research Scientist,3,2821,3,No,3,8,2,2,2
1061,2,3,5,Research & Development,Research Director,3,19237,2,Yes,3,29,8,1,7
1062,4,3,2,Research & Development,Healthcare Representative,2,4107,3,No,3,8,4,3,0
1066,3,3,2,Sales,Sales Executive,1,8396,1,No,3,8,7,7,7
1068,1,2,1,Research & Development,Research Scientist,3,2007,1,No,3,5,5,3,1
1069,4,3,5,Research & Development,Research Director,4,19627,9,No,3,23,2,2,2
1070,3,2,3,Sales,Sales Executive,3,10686,6,No,3,13,9,4,7
1071,1,3,1,Research & Development,Research Scientist,3,2942,2,No,3,18,5,4,0
1073,4,2,3,Research & Development,Manufacturing Director,4,8858,0,No,3,15,14,8,7
1074,3,2,4,Research & Development,Manager,1,16756,7,No,3,31,9,7,6
1076,3,2,3,Sales,Sales Executive,4,10798,5,No,3,18,1,0,0
1077,4,3,1,Sales,Sales Representative,4,2323,1,Yes,3,2,2,2,0
1079,3,2,1,Research & Development,Laboratory Technician,1,1416,1,No,3,1,1,0,1
1080,4,2,2,Research & Development,Research Scientist,1,4615,8,Yes,4,19,16,13,1
1081,1,3,1,Research & Development,Research Scientist,3,2461,9,Yes,3,18,10,0,2
1082,2,2,3,Research & Development,Healthcare Representative,1,8722,1,No,3,10,10,7,1
1083,1,2,1,Research & Development,Laboratory Technician,1,3955,1,No,3,6,5,3,1
1084,3,3,2,Research & Development,Manufacturing Director,1,9957,0,No,3,7,6,2,0
1085,2,4,1,Research & Development,Research Scientist,3,3376,1,No,3,10,10,6,0
1088,3,2,3,Research & Development,Healthcare Representative,3,8823,0,No,3,20,19,9,1
1092,1,3,3,Research & Development,Healthcare Representative,4,10322,4,No,4,14,11,10,11
1094,1,1,1,Research & Development,Laboratory Technician,3,4621,1,No,3,3,3,2,1
1096,4,3,3,Research & Development,Manufacturing Director,2,10976,3,No,3,23,3,2,1
1097,3,3,2,Research & Development,Research Scientist,3,3660,3,No,3,10,8,7,1
1098,2,2,3,Human Resources,Human Resources,1,10482,9,No,3,24,20,6,3
1099,4,2,3,Research & Development,Healthcare Representative,4,7119,4,No,3,9,3,2,1
1100,4,3,3,Sales,Sales Executive,1,9582,0,Yes,4,9,8,7,4
1101,1,2,2,Research & Development,Research Scientist,3,4508,1,No,4,14,13,7,3
1102,1,3,1,Research & Development,Laboratory Technician,3,2207,1,No,3,4,4,2,2
1103,1,3,2,Research & Development,Healthcare Representative,4,7756,0,No,3,7,6,2,0
1105,4,2,2,Sales,Sales Executive,4,6694,2,Yes,3,8,1,0,0
1106,4,3,1,Research & Development,Laboratory Technician,4,3691,1,Yes,3,7,7,7,5
1107,1,3,1,Research & Development,Laboratory Technician,3,2377,1,No,4,1,1,1,0
1108,1,2,1,Research & Development,Research Scientist,2,2313,4,Yes,4,5,2,2,2
1109,4,3,4,Research & Development,Manager,1,17665,0,No,3,23,22,6,13
1111,1,2,1,Research & Development,Laboratory Technician,2,2596,1,No,3,1,1,0,0
1113,4,3,2,Sales,Sales Executive,3,4728,3,Yes,3,5,0,0,0
1114,4,3,2,Sales,Sales Executive,2,4302,0,No,3,4,3,2,0
1115,3,2,1,Research & Development,Research Scientist,4,2979,3,No,3,6,0,0,0
1116,1,4,4,Research & Development,Manager,4,16885,2,No,4,27,5,4,2
1117,2,2,2,Sales,Sales Executive,3,5593,1,No,3,15,15,10,4
1118,2,3,3,Research & Development,Healthcare Representative,2,10445,7,No,3,18,8,6,4
1119,3,2,3,Sales,Sales Executive,3,8740,0,Yes,3,9,8,7,2
1120,3,3,1,Research & Development,Research Scientist,4,2514,4,No,4,11,7,5,1
1121,4,3,3,Research & Development,Manufacturing Director,2,7655,0,No,3,10,9,7,1
1124,1,3,4,Sales,Manager,3,17465,3,No,3,23,12,9,4
1125,4,3,3,Sales,Sales Executive,2,7351,7,No,3,10,1,0,0
1126,3,3,3,Research & Development,Manufacturing Director,1,10820,8,No,3,18,8,7,0
1127,1,3,4,Research & Development,Healthcare Representative,4,12169,7,No,3,21,18,7,11
1128,3,2,5,Research & Development,Research Director,3,19626,1,No,3,21,20,7,4
1131,4,2,1,Research & Development,Research Scientist,2,2070,1,Yes,3,2,2,2,2
1132,3,3,2,Research & Development,Laboratory Technician,2,6782,9,No,3,9,5,4,0
1133,1,3,2,Research & Development,Manufacturing Director,4,7779,2,No,4,18,11,9,0
1135,3,4,1,Sales,Sales Representative,4,2791,0,No,3,3,2,2,2
1136,1,2,1,Research & Development,Research Scientist,2,3201,0,No,3,6,5,3,0
1137,4,3,2,Sales,Sales Executive,4,4968,1,No,3,5,5,2,0
1138,4,2,4,Sales,Sales Executive,2,13120,6,No,3,22,9,8,2
1140,4,3,2,Research & Development,Manufacturing Director,3,4033,2,No,3,5,3,2,0
1143,4,3,1,Research & Development,Research Scientist,2,3291,0,No,3,8,7,5,1
1148,2,1,2,Research & Development,Laboratory Technician,4,4272,4,No,3,16,1,0,0
1150,2,2,2,Research & Development,Manufacturing Director,4,5056,1,Yes,3,10,10,7,1
1152,3,4,1,Human Resources,Human Resources,3,2844,1,No,3,7,7,6,5
1154,3,2,1,Research & Development,Research Scientist,3,2703,1,Yes,3,3,3,1,0
1156,3,3,1,Research & Development,Laboratory Technician,3,1904,1,No,3,0,0,0,0
1157,1,3,2,Sales,Sales Executive,1,8224,0,Yes,3,6,5,2,0
1158,2,3,1,Research & Development,Laboratory Technician,4,4766,3,Yes,3,6,1,0,0
1160,3,3,1,Research & Development,Laboratory Technician,3,2610,1,No,3,2,2,2,2
1161,3,2,2,Research & Development,Healthcare Representative,4,5731,7,No,3,9,6,2,1
1162,4,2,1,Research & Development,Research Scientist,3,2539,1,No,3,4,4,2,2
1163,2,3,2,Sales,Sales Executive,3,5714,1,No,4,6,6,5,1
1164,3,3,1,Human Resources,Human Resources,3,4323,1,No,3,6,5,4,1
1165,4,2,3,Sales,Sales Executive,1,7336,1,No,3,11,11,8,3
1166,2,3,3,Research & Development,Research Director,3,13499,9,No,3,20,18,7,2
1167,3,3,4,Sales,Sales Executive,1,13758,0,Yes,3,22,21,9,13
1171,2,3,2,Sales,Sales Executive,1,5155,7,No,3,9,6,4,1
1172,4,2,1,Research & Development,Laboratory Technician,3,2258,6,No,3,10,8,0,1
1173,4,3,1,Research & Development,Laboratory Technician,2,3597,8,No,4,6,4,3,1
1175,3,3,1,Research & Development,Laboratory Technician,4,2515,1,Yes,3,1,1,1,0
1177,1,4,1,Research & Development,Laboratory Technician,4,4420,1,No,4,8,8,7,0
1179,3,2,2,Sales,Sales Executive,3,6578,1,No,3,10,10,3,1
1180,3,2,2,Research & Development,Research Scientist,4,4422,3,Yes,3,16,1,1,0
1182,3,2,3,Research & Development,Manufacturing Director,2,10274,2,No,3,15,7,7,6
1184,4,2,2,Research & Development,Healthcare Representative,1,5343,0,No,4,14,13,9,4
1185,4,2,1,Research & Development,Laboratory Technician,4,2376,1,No,3,2,2,2,2
1188,1,1,2,Sales,Sales Executive,3,5346,8,No,3,7,4,3,1
1190,3,3,1,Sales,Sales Representative,1,2827,1,No,3,1,1,0,0
1191,4,3,5,Research & Development,Manager,1,19943,4,No,3,28,5,2,4
1192,2,3,1,Research & Development,Laboratory Technician,4,3131,1,No,3,10,10,8,0
1193,3,3,1,Research & Development,Research Scientist,1,2552,1,No,4,1,1,1,0
1195,1,3,1,Research & Development,Research Scientist,3,4477,4,Yes,3,7,3,2,0
1196,4,2,2,Research & Development,Manufacturing Director,4,6474,1,No,3,14,14,8,3
1198,1,2,1,Research & Development,Laboratory Technician,3,3033,1,No,3,2,2,2,1
1200,3,3,1,Research & Development,Research Scientist,3,2936,1,Yes,3,6,6,4,0
1201,4,3,5,Research & Development,Manager,3,18606,3,No,3,26,7,7,4
1202,2,1,1,Research & Development,Research Scientist,4,2168,0,Yes,3,6,5,4,1
1203,3,2,1,Research & Development,Research Scientist,4,2853,0,Yes,3,1,0,0,0
1204,3,3,4,Sales,Manager,1,17048,8,No,4,28,26,15,15
1206,4,1,1,Research & Development,Research Scientist,3,2290,2,No,3,6,0,0,0
1207,2,3,1,Human Resources,Human Resources,3,3600,1,No,3,5,5,4,1
1210,1,2,1,Research & Development,Research Scientist,1,2107,6,No,3,5,1,0,0
1211,3,3,2,Sales,Sales Executive,1,4115,8,No,3,8,4,3,0
1212,2,3,2,Sales,Sales Executive,2,4327,5,No,3,5,0,0,0
1215,4,3,4,Research & Development,Manager,1,17856,2,No,4,32,2,2,2
1216,4,2,1,Research & Development,Laboratory Technician,1,3196,1,No,3,6,6,5,3
1217,4,3,5,Research & Development,Research Director,2,19081,5,No,3,25,4,2,0
1218,3,3,2,Sales,Sales Executive,1,8966,3,Yes,3,15,7,7,1
1219,4,3,1,Research & Development,Laboratory Technician,2,2210,1,No,3,1,1,0,0
1220,2,3,2,Sales,Sales Executive,3,4539,1,No,3,10,10,7,0
1221,3,1,1,Research & Development,Laboratory Technician,3,2741,1,No,3,7,7,7,1
1224,3,3,2,Research & Development,Laboratory Technician,3,3491,1,No,3,10,10,7,8
1225,4,3,2,Research & Development,Research Scientist,4,4541,1,No,4,20,20,11,13
1226,3,4,1,Sales,Sales Representative,4,2678,1,No,3,2,2,1,2
1228,4,3,2,Research & Development,Manufacturing Director,4,7379,2,No,3,12,6,3,1
1231,4,4,2,Human Resources,Human Resources,1,6272,7,No,3,10,4,3,0
1233,2,4,2,Sales,Sales Executive,4,5220,0,Yes,3,12,11,7,1
1234,3,2,1,Research & Development,Laboratory Technician,2,2743,1,No,4,2,2,2,2
1235,4,3,2,Research & Development,Research Scientist,3,4998,4,Yes,3,10,8,7,0
1237,3,1,3,Research & Development,Manufacturing Director,1,10252,2,Yes,4,17,7,7,7
1238,1,3,1,Research & Development,Research Scientist,4,2781,0,No,3,15,14,10,4
1239,2,2,2,Sales,Sales Executive,2,6852,7,No,3,7,5,1,1
1240,3,3,2,Sales,Sales Executive,4,4950,0,No,3,5,4,3,1
1241,4,3,1,Research & Development,Research Scientist,2,3579,0,Yes,4,12,11,9,5
1242,1,3,3,Research & Development,Research Director,1,13191,3,Yes,3,20,1,0,0
1243,3,2,3,Sales,Sales Executive,4,10377,4,Yes,3,16,13,2,4
1244,1,3,1,Research & Development,Research Scientist,1,2235,1,Yes,3,9,9,7,6
1245,4,3,3,Research & Development,Manufacturing Director,3,10502,7,No,3,33,5,4,1
1246,1,4,1,Research & Development,Research Scientist,4,2011,1,No,3,10,10,5,7
1248,1,2,1,Research & Development,Research Scientist,2,1859,1,Yes,4,1,1,1,0
1249,1,3,1,Research & Development,Research Scientist,4,3760,1,No,3,3,3,2,1
1250,4,3,4,Research & Development,Research Director,4,17779,3,No,3,36,10,9,0
1251,3,3,2,Research & Development,Healthcare Representative,1,6833,1,Yes,3,6,6,5,0
1252,3,2,2,Research & Development,Healthcare Representative,1,6812,1,No,3,10,10,9,1
1254,3,2,2,Sales,Sales Executive,4,5171,5,No,3,13,6,1,0
1255,3,1,5,Research & Development,Research Director,4,19740,3,No,3,25,8,7,0
1256,1,2,5,Research & Development,Manager,3,18711,2,No,3,23,1,0,0
1257,3,3,1,Research & Development,Research Scientist,2,3692,1,No,3,12,11,10,0
1258,4,4,1,Research & Development,Laboratory Technician,2,2559,5,No,3,7,1,0,0
1259,1,3,1,Research & Development,Research Scientist,3,2517,1,No,3,5,5,3,0
1260,3,3,2,Research & Development,Healthcare Representative,4,6623,1,Yes,3,6,6,0,1
1263,4,2,5,Research & Development,Research Director,4,18265,6,No,3,25,1,0,0
1264,4,2,4,Research & Development,Research Director,4,16124,3,No,3,9,7,7,1
1265,3,4,1,Research & Development,Research Scientist,3,2585,0,No,3,2,1,0,0
1267,2,3,5,Sales,Manager,2,18213,7,No,3,26,22,9,3
1268,4,4,3,Sales,Sales Executive,3,8380,0,Yes,3,10,9,8,0
1269,2,4,1,Research & Development,Research Scientist,4,2994,1,Yes,3,1,1,0,0
1270,4,3,1,Research & Development,Research Scientist,3,1223,1,No,4,1,1,0,0
1273,3,1,1,Sales,Sales Representative,4,1118,1,Yes,3,1,1,0,1
1275,3,3,1,Research & Development,Research Scientist,4,2875,1,Yes,4,8,8,5,2
1277,1,1,5,Sales,Manager,2,18824,2,Yes,3,26,24,10,1
1278,4,2,4,Research & Development,Healthcare Representative,2,13577,1,Yes,3,34,33,9,15
1279,1,2,1,Research & Development,Laboratory Technician,3,2625,1,No,4,2,2,2,2
1280,4,2,5,Sales,Manager,2,18789,2,No,3,26,11,4,0
1281,3,3,2,Sales,Sales Executive,1,4538,0,Yes,3,4,3,2,0
1282,4,3,5,Sales,Manager,2,19847,4,Yes,4,31,29,10,11
1283,4,3,3,Research & Development,Manufacturing Director,4,10512,6,No,3,25,9,7,5
1285,3,3,2,Research & Development,Laboratory Technician,2,4444,4,No,3,15,11,8,5
1286,4,3,1,Research & Development,Laboratory Technician,3,2154,0,Yes,3,5,4,2,0
1288,3,4,5,Research & Development,Manager,1,19190,1,No,3,26,25,9,14
1289,3,2,2,Human Resources,Human Resources,2,4490,4,No,3,14,10,9,1
1291,3,3,1,Research & Development,Research Scientist,3,3506,0,Yes,3,4,3,2,2
1292,2,4,2,Research & Development,Research Scientist,2,2372,6,Yes,3,18,1,0,0
1293,4,2,3,Sales,Sales Executive,4,10231,3,No,3,23,21,7,15
1294,3,3,2,Research & Development,Manufacturing Director,2,5410,9,Yes,3,18,16,14,5
1295,1,3,3,Research & Development,Healthcare Representative,4,7978,1,No,3,10,10,7,0
1296,4,2,1,Research & Development,Laboratory Technician,4,3867,1,Yes,3,2,2,2,2
1297,2,2,1,Research & Development,Laboratory Technician,3,2838,0,No,3,8,7,0,7
1298,3,3,2,Research & Development,Manufacturing Director,3,4695,7,Yes,3,10,8,4,1
1299,2,3,1,Research & Development,Laboratory Technician,3,3339,3,Yes,3,10,7,7,7
1301,4,3,1,Research & Development,Research Scientist,1,2080,2,No,3,5,3,2,1
1303,4,3,1,Research & Development,Research Scientist,2,2096,1,No,3,2,2,2,2
1304,3,4,2,Sales,Sales Executive,4,6209,1,No,3,10,10,7,0
1306,2,3,5,Research & Development,Manager,2,18061,3,No,4,22,0,0,0
1307,3,2,4,Research & Development,Manager,2,17123,6,Yes,3,21,19,9,15
1308,1,3,1,Research & Development,Research Scientist,3,2372,1,No,3,2,2,2,2
1309,4,3,2,Research & Development,Laboratory Technician,3,4883,1,No,3,10,10,4,1
1310,3,3,1,Research & Development,Research Scientist,1,3904,0,No,3,6,5,2,0
1311,1,2,2,Research & Development,Laboratory Technician,4,4627,0,No,3,10,9,2,6
1312,4,3,3,Research & Development,Healthcare Representative,3,7094,3,No,3,10,7,7,1
1314,4,3,1,Human Resources,Human Resources,1,3423,6,No,3,10,7,6,5
1315,3,1,2,Research & Development,Laboratory Technician,4,6674,0,No,3,10,9,8,7
1317,4,3,4,Research & Development,Research Director,1,16880,4,Yes,3,25,3,2,1
1318,4,2,3,Sales,Sales Executive,2,9094,2,Yes,3,9,5,4,1
1319,2,3,3,Sales,Sales Executive,2,8446,9,Yes,3,10,8,7,7
1321,2,3,3,Research & Development,Manager,1,11916,1,Yes,4,9,9,1,0
1322,1,3,2,Research & Development,Manufacturing Director,3,4534,0,No,3,9,8,7,1
1324,4,3,3,Sales,Sales Executive,3,9852,1,Yes,3,10,10,8,9
1329,3,1,2,Sales,Sales Executive,2,6151,1,No,3,19,19,2,11
1331,4,3,1,Sales,Sales Representative,2,2302,1,Yes,3,3,3,2,2
1333,1,3,1,Research & Development,Laboratory Technician,1,2362,4,No,3,10,3,2,1
1334,3,3,4,Research & Development,Manager,3,17861,0,Yes,3,21,20,8,2
1336,4,1,5,Research & Development,Manager,3,19187,4,No,3,23,19,9,9
1338,4,3,5,Human Resources,Manager,2,19717,6,No,3,36,7,3,7
1340,3,3,1,Research & Development,Research Scientist,3,3544,9,No,3,6,4,2,0
1344,4,3,3,Research & Development,Healthcare Representative,4,8500,0,No,3,10,9,7,1
1346,3,3,2,Research & Development,Research Scientist,4,4661,1,No,3,9,9,8,8
1349,3,3,2,Sales,Sales Executive,1,4103,0,No,3,10,9,3,1
1350,3,3,2,Research & Development,Research Scientist,3,4249,1,Yes,3,9,9,6,1
1352,3,3,4,Human Resources,Manager,2,14026,1,Yes,3,33,33,9,0
1355,2,3,2,Sales,Sales Executive,1,6893,3,No,3,11,7,7,1
1356,3,3,2,Sales,Sales Executive,1,6125,1,No,3,10,10,8,9
1358,4,3,1,Research & Development,Laboratory Technician,4,3669,3,No,3,7,3,2,1
1360,3,2,3,Research & Development,Manufacturing Director,1,10008,7,Yes,3,31,10,9,5
1361,2,3,1,Research & Development,Laboratory Technician,2,2387,3,No,4,7,4,2,0
1362,1,4,2,Sales,Sales Executive,1,4639,2,No,3,17,15,7,6
1363,4,3,3,Research & Development,Manufacturing Director,4,7898,1,No,3,11,10,9,0
1364,3,4,1,Sales,Sales Representative,4,2534,8,No,3,5,1,0,0
1367,4,2,4,Research & Development,Manufacturing Director,2,13142,3,No,3,29,5,2,0
1368,4,3,1,Research & Development,Laboratory Technician,4,1611,1,No,3,0,0,0,0
1369,4,2,2,Research & Development,Laboratory Technician,4,5363,0,No,3,10,9,7,0
1371,4,1,2,Sales,Sales Executive,4,5071,3,No,4,8,6,2,0
1372,1,4,4,Sales,Sales Executive,3,13695,6,Yes,3,24,19,7,3
1373,4,3,4,Research & Development,Manufacturing Director,2,13402,4,Yes,3,33,19,16,15
1374,1,2,1,Research & Development,Research Scientist,3,2029,1,No,4,5,5,4,0
1375,2,4,2,Research & Development,Healthcare Representative,3,6377,5,No,4,15,12,11,11
1377,2,3,2,Research & Development,Laboratory Technician,3,5429,4,No,3,10,8,7,7
1379,3,2,1,Sales,Sales Representative,4,2785,7,No,3,3,1,0,0
1380,4,3,2,Sales,Sales Executive,3,4614,0,Yes,3,5,4,2,3
1382,4,4,1,Research & Development,Research Scientist,3,2610,1,No,3,4,4,2,0
1383,3,3,2,Research & Development,Healthcare Representative,4,6687,1,No,3,14,14,11,4
1387,3,2,2,Sales,Sales Executive,1,4724,1,No,3,5,5,3,0
1389,4,3,2,Research & Development,Manufacturing Director,3,6179,1,Yes,3,10,10,2,6
1390,1,2,2,Sales,Sales Executive,4,6120,3,Yes,3,8,5,4,1
1391,2,3,3,Sales,Sales Executive,2,10596,2,No,3,14,4,2,3
1392,4,3,2,Research & Development,Research Scientist,4,5467,3,Yes,3,12,6,2,3
1394,3,3,1,Research & Development,Research Scientist,3,2996,7,Yes,3,8,6,4,1
1395,2,3,2,Sales,Sales Executive,4,9998,6,No,3,8,5,4,1
1396,3,3,2,Sales,Sales Executive,2,4078,0,Yes,3,4,3,2,1
1397,3,3,3,Research & Development,Healthcare Representative,3,10920,3,No,4,13,6,4,0
1399,1,4,2,Sales,Sales Executive,3,6232,2,No,3,6,3,2,1
1401,4,4,4,Research & Development,Manufacturing Director,3,13247,2,Yes,3,24,5,3,0
1402,1,2,2,Research & Development,Research Scientist,3,4081,1,Yes,3,20,20,7,1
1403,4,2,2,Sales,Sales Executive,4,5769,1,Yes,3,6,6,2,4
1405,4,3,1,Research & Development,Research Scientist,3,2394,1,Yes,3,8,8,2,7
1407,1,2,1,Research & Development,Research Scientist,4,3904,0,No,3,5,4,3,1
1408,3,3,4,Human Resources,Manager,1,16799,0,No,3,21,20,7,0
1409,3,3,1,Research & Development,Laboratory Technician,1,2950,9,No,3,12,5,4,0
1411,1,3,1,Research & Development,Laboratory Technician,3,3629,4,No,3,8,3,2,0
1412,3,3,3,Research & Development,Manufacturing Director,4,9362,2,No,3,10,2,2,2
1415,1,3,1,Research & Development,Laboratory Technician,4,3229,4,No,3,7,3,2,0
1417,3,4,1,Research & Development,Laboratory Technician,1,3578,0,No,3,8,7,7,0
1419,2,2,3,Human Resources,Human Resources,1,7988,1,No,3,10,10,9,0
1420,1,2,2,Research & Development,Laboratory Technician,1,4284,3,No,4,20,4,3,1
1421,3,3,3,Research & Development,Healthcare Representative,4,7553,0,Yes,3,9,8,7,7
1422,4,3,4,Research & Development,Research Director,4,17328,6,No,3,29,20,7,12
1423,4,3,5,Research & Development,Research Director,1,19701,3,Yes,4,32,9,8,1
1424,2,4,4,Research & Development,Research Director,4,14732,2,No,3,31,7,7,0
1425,1,3,2,Sales,Sales Executive,2,9278,3,Yes,3,15,5,4,0
1427,2,1,1,Sales,Sales Representative,3,1359,1,No,3,1,1,0,0
1428,4,3,2,Sales,Sales Executive,1,4779,7,No,3,8,3,2,0
1430,1,3,4,Research & Development,Research Director,2,16422,3,No,3,9,3,2,1
1431,4,3,1,Research & Development,Research Scientist,1,2996,5,No,3,10,4,3,1
1433,1,2,1,Research & Development,Research Scientist,2,1261,1,No,3,1,1,0,0
1434,2,3,1,Research & Development,Laboratory Technician,1,2099,0,No,3,6,5,0,1
1435,1,2,2,Research & Development,Laboratory Technician,4,5810,1,No,3,10,10,4,1
